Ticker,Company,Sector,Current_Price,Start_Price,Max_Price,Min_Price,Avg_Volume,Avg_Volatility,Total_Return
AAPL,Apple,Tech,257.46,72.4,285.92,54.21,83583889.82,1.8,255.61
AMZN,Amazon,Tech,213.21,94.9,254.0,81.82,64194386.47,2.11,124.67
BAC,Bank of America,Finance,48.64,30.59,56.93,15.62,48009646.46,1.88,59.02
CVX,Chevron,Energy,189.94,92.02,189.94,41.57,9801158.63,1.79,106.42
GOOGL,Google,Tech,298.52,67.92,343.69,52.31,33686653.61,1.92,339.51
GS,Goldman Sachs,Finance,821.42,202.12,970.75,117.13,2634892.59,1.83,306.4
JPM,JP Morgan Chase,Finance,289.48,119.04,334.61,67.1,12467320.94,1.69,143.19
MS,Morgan Stanley,Finance,160.27,43.07,191.23,23.17,8813496.59,1.92,272.12
MSFT,Microsoft,Tech,408.96,152.16,539.83,128.64,27859895.55,1.69,168.77
XOM,ExxonMobil,Energy,151.21,53.31,154.53,23.99,21340713.4,1.87,183.66
