Sector,Year,Quarter,Avg_Return,Avg_Volatility,Total_Volume
Energy,2020,1,-0.77,3.69,2799117500
Energy,2020,2,0.39,4.45,2569687600
Energy,2020,3,-0.33,2.1,2098539300
Energy,2020,4,0.34,2.84,2655765400
Energy,2021,1,0.47,2.03,2634587000
Energy,2021,2,0.13,1.65,2114279000
Energy,2021,3,-0.04,1.63,1994787900
Energy,2021,4,0.17,1.47,1942602800
Energy,2022,1,0.55,1.89,3201591900
Energy,2022,2,-0.02,2.21,2512758900
Energy,2022,3,0.05,2.22,1847835800
Energy,2022,4,0.39,1.97,1675127500
Energy,2023,1,-0.05,1.69,1606425600
Energy,2023,2,-0.02,1.57,1424184200
Energy,2023,3,0.15,1.27,1442696300
Energy,2023,4,-0.2,1.49,2058663000
Energy,2024,1,0.19,1.2,1664050900
Energy,2024,2,0.01,1.05,1614011600
Energy,2024,3,-0.01,1.32,1352205100
Energy,2024,4,-0.06,1.2,1442542100
Energy,2025,1,0.23,1.37,1452557000
Energy,2025,2,-0.16,1.93,1750045600
Energy,2025,3,0.12,1.24,1596201100
Energy,2025,4,0.06,1.13,1407886500
Energy,2026,1,0.54,1.64,1474035800
Finance,2020,1,-0.59,3.9,7503818300
Finance,2020,2,0.38,4.47,7578823200
Finance,2020,3,0.05,2.02,5808247700
Finance,2020,4,0.48,2.22,5541166500
Finance,2021,1,0.34,1.77,5281865800
Finance,2021,2,0.18,1.39,4543249600
Finance,2021,3,0.07,1.46,4508320600
Finance,2021,4,0.03,1.55,4269947500
Finance,2022,1,-0.17,2.03,5467674900
Finance,2022,2,-0.26,2.02,4734463900
Finance,2022,3,-0.0,1.74,3870514900
Finance,2022,4,0.26,1.9,3916495600
Finance,2023,1,-0.05,1.53,5008144400
Finance,2023,2,0.05,1.58,4296843200
Finance,2023,3,-0.02,1.21,3694404400
Finance,2023,4,0.3,1.49,4265514200
Finance,2024,1,0.17,1.18,3752790900
Finance,2024,2,0.09,1.32,3459359600
Finance,2024,3,0.1,1.55,3664644400
Finance,2024,4,0.25,1.78,3241774900
Finance,2025,1,-0.04,1.69,3555599200
Finance,2025,2,0.34,2.25,4181189500
Finance,2025,3,0.18,1.19,3374257300
Finance,2025,4,0.13,1.39,3310531100
Finance,2026,1,-0.2,1.8,2798511800
Tech,2020,1,-0.06,3.27,25187785800
Tech,2020,2,0.49,2.63,20316890200
Tech,2020,3,0.2,2.23,22018934400
Tech,2020,4,0.18,1.99,16927074100
Tech,2021,1,0.05,1.82,15251678200
Tech,2021,2,0.22,1.34,13012159100
Tech,2021,3,0.06,1.15,12490651300
Tech,2021,4,0.21,1.49,13378870700
Tech,2022,1,-0.04,2.22,15562916600
Tech,2022,2,-0.4,2.65,15702994500
Tech,2022,3,-0.03,2.24,12267174300
Tech,2022,4,-0.12,2.7,14191375200
Tech,2023,1,0.34,2.09,13022974900
Tech,2023,2,0.3,1.65,11224382500
Tech,2023,3,-0.04,1.55,10388897400
Tech,2023,4,0.23,1.52,9980582500
Tech,2024,1,0.11,1.42,9784508300
Tech,2024,2,0.22,1.47,9779500700
Tech,2024,3,-0.01,1.61,8990577200
Tech,2024,4,0.15,1.46,8268638200
Tech,2025,1,-0.22,1.74,8829201200
Tech,2025,2,0.23,2.49,11098366500
Tech,2025,3,0.24,1.47,9845272900
Tech,2025,4,0.13,1.56,9493908300
Tech,2026,1,-0.18,1.65,7856814100
